Name	Role	Company	Attended
Alfons Eric Bosch Sansa	Chief Marketing Officer	XLSMART	MWC26 Barcelona
Alfonso Aguiriano De Rojas	CEO	ESB SISTEMAS ESPAÑA	MWC26 Barcelona
Alfonso Ayuso	CEO	Minos Global	MWC26 Barcelona
Alfonso De Castaneda Calvo	Director	Zonamovilidad.es	MWC26 Barcelona
Alfonso Fontalba	Co Founder	LITEN LEMON MARKETING, S.L.	MWC26 Barcelona
Alfonso Juan Alvarez Villamarin	CEO	Cellnex Spain	MWC26 Barcelona
Alfred Hannig	Chief Executive Officer	Alliance for Financial Inclusion	MWC26 Barcelona
Alfred Ortiz	Chief Operating Officer	CSD CYBER	MWC26 Barcelona
Alfred Luis Villa Real	President and CEO	Communigate Technologies Inc.	MWC26 Barcelona
Alfredo Avila Sanchez	Iberia Sales Director II Head of FSI Global	VASS	MWC26 Barcelona
Alfredo Gonzalez Herrero	Partner	Case Management Consultants	MWC26 Barcelona
Alfredo Parreño	CTO	Importaciones CarHub S.L	MWC26 Barcelona
Alfredo Saenger	Founder	Electrogenos	MWC26 Barcelona
Ali Kuralkan	CEO	TEKNOSER	MWC26 Barcelona
Ali Asgharzadeh	Chief Strategy Officer	MLOS LTD	2 MWCs
Ali Durmus	CTO	ETIYA	MWC26 Barcelona
Ali Gazioglu	Co-Founder	Roamless	MWC26 Barcelona
Ali Ocal	Chief Operating Officer (COO)	NETGSM	MWC26 Barcelona
Ali Parsa	CEO and Founder	Quadrivia	MWC26 Barcelona
Ali Shah	CTO	Evamp & Saanga	2 MWCs
Ali Yassin	Chief Operations Officer	Touch	MWC26 Barcelona
Ali Emre Erisen	CEO - Co Founder	EDIS Disaster and Earthquake Systems	MWC26 Barcelona
Ali Çağatay Kuru	Product Management Executive	Nish Business Solutions	MWC26 Barcelona
Aliaksandr Blinkou	CTO	Aloteq	MWC26 Barcelona
Alicia M Iglesias	CEO	Lewis & Carroll	MWC26 Barcelona
Alin Valentin Gherman	CHIEF EXECUTIVE OFFICER	NOBEL LTD	MWC26 Barcelona
Alina Potapenko	Operations manager	VIAJEGROUP	MWC26 Barcelona
Aline Loiseau	Co-founder & Chief Commercial & Operations Officer	Apeiroon	MWC26 Barcelona
Alisa Dzic	Head of SMS Department	VX Telecom Group	MWC26 Barcelona
Alisdair Gunn	Director	Glasgow City Innovation District	MWC26 Barcelona
Alison Young	CEO	Kansys	MWC26 Barcelona
Alistair Castillo	CTO IOT BUSINESS	MELITA LIMITED	MWC26 Barcelona
Alla Oparienko	COO	Limited Liability Company “NUR Telecom”	MWC26 Barcelona
Allan Davidson	Founder and Host	SoundBtyes / CBS News	MWC26 Barcelona
Allan Fairbairn	Chief Technology and Digital Officer	Helios Towers	MWC26 Barcelona
Allan Kelman Ajuz	CEO	TELECALL	2 MWCs
Allan Pires	Board Member	CapiAnalytics	MWC26 Barcelona
Allen Lin	Vice President	Zyxel Communications	MWC26 Barcelona
Allen Proithis	CEO	Capstone Partners	MWC26 Barcelona
Allen C. Bayard	CEO	ACCESS HAITI S.A.	MWC26 Barcelona
Allwyn Kent	Co-Founder	Vonnue	MWC26 Barcelona
Almando Cox	CEO	ResolveIT Limited	MWC26 Barcelona
